leaderboard,benchmark,month,n_models,max_score,mean_score,std_score,bdi_entropy,bdi_gap_top20,bdi_iqr_top50,ceiling_proximity,top10_gap,top10_iqr
v1,ARC,2023-09,735,72.09897610921502,49.26969422581318,13.281491289884361,0.7402448667400141,0.19759295850547842,1.7278156996587057,0.7209897610921502,0.2275312855517626,1.151877133105799
v1,ARC,2023-10,795,73.03754266211604,49.16779359048662,13.961977971535676,0.7111905452332881,0.2200467037901925,5.375426621160415,0.7303754266211604,0.3128555176336742,1.2372013651877154
v1,ARC,2023-11,299,73.54948805460751,51.693357836702546,14.311426987099722,0.710217617874093,0.28291719058739023,5.546075085324233,0.735494880546075,0.2749336367083812,0.5332764505119343
v1,ARC,2023-12,587,87.45733788395904,59.423458204208366,12.589102975757289,0.6583291623572902,0.84875157176217,1.2372013651877154,0.8745733788395904,1.659082290481608,0.49061433447099034
v1,ARC,2024-01,1158,74.9146757679181,59.029190023991,14.244532554969904,0.6866882253595081,0.049398239626370355,0.5759385665528924,0.7491467576791809,0.07584376185058754,0.23464163822524142
v1,ARC,2024-02,940,76.79180887372013,59.41135356909448,14.364895379136504,0.69867212669584,0.13921322076522363,0.5759385665528924,0.7679180887372012,0.2275312855517626,1.194539249146743
v1,ARC,2024-03,975,79.77815699658703,59.1238295265599,13.912792950161709,0.7038415820332609,0.29189868870127467,3.2209897610921416,0.7977815699658702,0.2275312855517642,0.31996587030715773
v1,ARC,2024-04,935,79.86348122866895,58.835666441568875,12.812584800934841,0.6889265841463599,0.33680617927070283,0.49061433447097613,0.7986348122866894,0.6731133864239669,3.8609215017064855
v1,ARC,2024-05,751,79.86348122866895,57.76723185922752,13.293683661218875,0.6814562629059145,0.33231543021375987,2.26109215017064,0.7986348122866894,0.23701175578308822,1.5784982935153664
v1,ARC,2024-06,50,73.20819112627987,58.95733788395904,10.877972795555795,0.6265667498236976,0.485000898149812,12.58532423208191,0.7320819112627988,0.6446719757299965,2.8583617747440258
v1,HellaSwag,2023-09,735,88.31905994821749,70.03379005455997,18.06588543995761,0.7084585050333017,0.04979087831109334,1.4912368054172447,0.8831905994821748,0.0741330854854046,0.029874526986645833
v1,HellaSwag,2023-10,795,88.14977096195977,69.61374804437715,19.15549199682103,0.6806821993839081,0.0545079088879344,1.6406094403505307,0.8814977096195977,0.07413308548540619,0.2838080063732349
v1,HellaSwag,2023-11,299,88.19956184027086,70.80252904356885,19.39516270662512,0.6340032470209904,0.11111227581001888,2.9426409081856377,0.8819956184027086,0.06860076567306174,0.276339374626545
v1,HellaSwag,2023-12,587,90.11153156741685,79.11058053619432,13.853043777600572,0.5378356129482409,0.08962358095996817,0.28131846245769054,0.9011153156741685,0.18146008984487277,0.11949810794662596
v1,HellaSwag,2024-01,1158,90.57956582354113,77.37015760059907,16.537740532583292,0.5706695155773589,0.08281009234897702,0.3858793069109794,0.9057956582354113,0.1460532430458746,0.2141007767376948
v1,HellaSwag,2024-02,940,89.77295359490142,77.86884447024624,15.760448270954074,0.584617876820409,0.029874526986656304,0.19418442541326897,0.8977295359490143,0.04757795038615756,0.2614021111332363
v1,HellaSwag,2024-03,975,91.88408683529178,77.37729229543609,15.954789627064233,0.607938180065859,0.13050451262591878,0.5526787492531184,0.9188408683529178,0.18477948173228104,0.9012148974307905
v1,HellaSwag,2024-04,935,91.48575980880302,77.31617047970715,14.747736982605241,0.6169761927209562,0.11897399343808583,0.13692491535550744,0.9148575980880302,0.23014450419349763,0.7070304720175358
v1,HellaSwag,2024-05,751,92.75044811790481,75.84554988886889,15.681064280765117,0.6338605646039569,0.1855365360223903,0.6771559450308615,0.927504481179048,0.27219013476731235,0.9261103365863477
v1,HellaSwag,2024-06,50,89.11571400119497,78.55367456681937,10.408870892561195,0.5381112328077612,0.30555875847755193,7.448715395339576,0.8911571400119498,0.38062360308924625,1.2547301334395655
v1,MMLU,2023-09,735,78.58998091207172,43.24740991102056,14.39666710468849,0.7038353339599795,0.46094166837818307,5.691623309550323,0.7858998091207172,0.93456200386647,0.6084273224091561
v1,MMLU,2023-10,795,78.6565780378576,44.88400483379505,14.407824552286764,0.7084573207925094,0.488938610250491,5.820658680926414,0.7865657803785759,0.9494592302055511,0.5039853990824383
v1,MMLU,2023-11,299,78.12972437368346,49.62844145714562,16.476663668061107,0.7023761707668489,0.45804043460429295,5.783521299770044,0.7812972437368346,0.8392305981724744,3.588221249716412
v1,MMLU,2023-12,587,78.77691613518726,58.18828933750103,13.959380116649351,0.6585638219295672,0.15655973443749585,2.1057438397602084,0.7877691613518727,0.17284169618922995,0.9546623503003246
v1,MMLU,2024-01,1158,86.63598181059528,57.07210826452341,15.182614444095469,0.6718016773251274,0.49203344865334786,0.6267874473052188,0.8663598181059529,1.0162561999564856,5.467690125968332
v1,MMLU,2024-02,940,89.35202315945472,56.91405942113532,14.345401517047517,0.6400181750082217,0.6462829664896301,1.789637605838692,0.8935202315945472,1.3281413597930447,4.017655894710842
v1,MMLU,2024-03,975,84.50462266800915,56.77121478678105,13.795980744757156,0.5877562300736972,0.447532207615784,6.956608885162922,0.8450462266800914,0.7252242274274023,4.106636221871085
v1,MMLU,2024-04,935,80.19575908781562,57.40030387989532,13.683100947747876,0.6366545947587097,0.18903851162999194,3.6368161925305174,0.8019575908781562,0.22415274045045427,0.7817586687356766
v1,MMLU,2024-05,751,86.10916697445656,59.02461492532115,14.649684753204808,0.6303126756268626,0.4266094441564196,4.147849063963889,0.8610916697445655,0.6826773201806478,0.3832821255189316
v1,MMLU,2024-06,50,83.79060762911848,60.32494564739497,14.070409979907454,0.7031497254442151,0.9094050680203002,10.711555691976379,0.8379060762911849,1.4821134222708865,6.351535122478893
v1,TruthfulQA,2023-09,729,65.01725704722767,44.561827817392334,6.502143270691152,0.5645766621240889,0.39729058724826344,3.3069817883483594,0.6501725704722767,0.6510653119861752,2.001032141090576
v1,TruthfulQA,2023-10,790,65.80936974916321,45.146267952586925,6.404947793814687,0.5607778310844745,0.42729170978424086,3.6583438631160874,0.658093697491632,0.6619783973398354,2.7893578806467048
v1,TruthfulQA,2023-11,296,65.26486216773408,47.6965050513692,6.907652977931745,0.5799995698678821,0.3375897452219091,4.474718056760217,0.6526486216773408,0.4138916688451231,2.335041733413469
v1,TruthfulQA,2023-12,581,76.7315070847728,53.86867031112037,9.896357417686536,0.6877304131588363,0.25232348988645986,1.97781006122311,0.767315070847728,0.5205121852086165,1.0192384063671938
v1,TruthfulQA,2024-01,1143,81.497814660951,55.93489247077225,11.024010845300602,0.7055056738107691,0.4323331205438831,2.104613484550569,0.81497814660951,0.7546946855078889,2.9248622474728734
v1,TruthfulQA,2024-02,934,79.89231486574116,55.79238841237927,12.6482798660515,0.736181656986201,0.09033540775731365,0.9313255819731268,0.7989231486574115,0.14680667624656646,0.7039545813257746
v1,TruthfulQA,2024-03,959,82.29384707942751,56.07525582929849,12.80280001909782,0.7424966205159046,0.18983682623369932,0.9750789860745215,0.8229384707942751,0.33407327889970084,1.281903770585032
v1,TruthfulQA,2024-04,925,82.29384707942751,54.70497104319377,11.790608572831573,0.7156693418302912,0.2158758206412219,0.24506984176203161,0.8229384707942751,0.42735679490601164,1.110635206304167
v1,TruthfulQA,2024-05,729,80.81212550634008,53.66701373585398,9.824485759246539,0.6646303539407926,0.14617071176723068,2.6740572394544415,0.8081212550634008,0.20495267304644768,1.1716697851338864
v1,TruthfulQA,2024-06,50,78.10449452596177,51.85338256421551,8.05334525445737,0.58901000328405,1.2408226744302557,10.722685296269702,0.7810449452596177,2.1953889621678986,3.1447688730321275
v1,Winogrande,2023-09,735,84.29360694554065,69.34007699370197,9.508815985766875,0.6315881762679284,0.04984837785070421,2.4269928966061656,0.8429360694554064,0.043848110146451326,0.31570639305445525
v1,Winogrande,2023-10,795,84.37253354380427,69.2006572252585,9.804139800571724,0.6032712549595178,0.08308062975117393,2.8216258879242275,0.8437253354380426,0.07892659826361619,0.4143646408839885
v1,Winogrande,2023-11,299,84.29360694554065,71.38052915136748,9.712140769198294,0.5878771690740602,0.10800481867652566,3.1767955801104932,0.8429360694554064,0.1227747084100675,0.5722178374112019
v1,Winogrande,2023-12,587,85.00394632991318,75.98305296687369,8.20935132944377,0.5112408480139213,0.0706185352884977,0.37490134175217804,0.8500394632991317,0.09646584232219545,0.5524861878453038
v1,Winogrande,2024-01,1158,91.4759273875296,75.38757867100695,9.777343233949399,0.5689020105880833,0.286628172641549,2.0520915548539875,0.914759273875296,0.4121722353766554,0.9471191791633942
v1,Winogrande,2024-02,940,88.39779005524862,75.61461989286134,9.914791477627537,0.6005525803687761,0.12462094462676089,0.8484609313338609,0.8839779005524862,0.21047092870297332,0.7498026835043277
